itemId,commission,"room_area, m2",rooms_count,floor,floors_count,house_type,lat,lng,colors,url,metro_distance,station_1,station_2,station_3,metro_distance_1,metro_distance_2,metro_distance_3,name,address,"price, rub"
2095537521,Собственник,16,2,6,9,Кирпичный,55.692079,37.604259,['#F4D7CF'],/moskva/komnaty/komnata_16_m_v_2-k.69_et._2095537521,"{'2167': 0.2, '2168': 0.9, '68': 1.5}",2167,2168,68,0.2,0.9,1.5,Крымская,"Москва, Загородное шоссе, 13",4000000
2051917315,Собственник,15.2,3,3,5,Кирпичный,55.761559329417,37.7310065042061,['#F4D7CF'],/moskva/komnaty/komnata_15.2_m_v_3-k_35_et._2051917315,"{'1': 1.4, '141': 1.3, '2181': 1.3}",1,141,2181,1.4,1.3,1.3,Соколиная гора,"Москва, улица Буракова, 17/2",3500000
2058742855,Собственник,11,2,4,16,Монолитный,55.812352,37.563691,['#ADACAC'],/moskva/komnaty/komnata_11_m_v_2-k_416_et._2058742855,"{'121': 1.2, '2154': 1.9, '31': 1.2}",121,2154,31,1.2,1.9,1.2,Дмитровская,"Москва, Астрадамская улица, 7",2500000
2096587203,Посредник,17,3,3,5,Кирпичный,55.761502,37.73103,['#F4D7CF'],/moskva/komnaty/komnata_17_m_v_3-k._35_et._2096587203,,,,,,,,Соколиная гора,"Москва, улица Буракова, 17/2",3500000
2106969853,Собственник,15.2,3,4,5,Кирпичный,55.761502,37.73103,['#F4D7CF'],/moskva/komnaty/komnata_152_m_v_3-k.45_et._2106969853,"{'1': 1.4, '141': 1.3, '2181': 1.3}",1,141,2181,1.4,1.3,1.3,Соколиная гора,"Москва, улица Буракова, 17/2",3500000
2087405797,Собственник,13.8,3,2,5,Кирпичный,55.761669,37.731021,['#F4D7CF'],/moskva/komnaty/komnata_138_m_v_3-k.25_et._2087405797,"{'1': 1.5, '141': 1.3, '2181': 1.3}",1,141,2181,1.5,1.3,1.3,Соколиная гора,"Москва, улица Буракова, 17/2, подъезд 2",3800000
1963845406,Посредник,20.2,3,1,5,Кирпичный,55.752308,37.503163,['#1EBCEF'],/moskva/komnaty/komnata_202_m_v_3-k._15_et._1963845406,,,,,,,,Багратионовская,"Москва, Новозаводская улица, 21",5200000
1858141665,Собственник,8,2,6,8,Кирпичный,55.779606,37.725262,['#0072BA'],/moskva/komnaty/komnata_8_m_v_2-k.68_et._1858141665,"{'107': 0.5, '144': 1.3, '2176': 1.5}",107,144,2176,0.5,1.3,1.5,Семеновская,"Москва, Измайловское шоссе, 15",3000000
1870097167,Собственник,14.2,3,1,10,Кирпичный,55.782339,37.51202,['#F4D7CF'],/moskva/komnaty/komnata_142_m_v_3-k.110_et._1870097167,"{'2161': 0.7, '2193': 0.8, '91': 0.7}",2161,2193,91,0.7,0.8,0.7,Хорошево,"Москва, улица Зорге, 10к2",4500000
2111253143,Собственник,17.3,3,5,5,Кирпичный,55.819226,37.590084,['#BED12C'],/moskva/komnaty/komnata_173_m_v_3-k.55_et._2111253143,"{'121': 0.7, '2154': 0.4, '2155': 1}",121,2154,2155,0.7,0.4,1.0,Фонвизинская,"Москва, улица Добролюбова, 25Ак2",4100000
2095645558,Собственник,17.5,2,1,8,Кирпичный,55.820918099217,37.6279294435195,['#F07E24'],/moskva/komnaty/komnata_175_m_v_2-k.18_et._2095645558,"{'151': 1.6, '21': 0.8, '2155': 1.8}",151,21,2155,1.6,0.8,1.8,ВДНХ,"Москва, улица Академика Королёва, 5",6950000
2084781952,Собственник,18.9,3,1,5,Кирпичный,55.818341,37.658221,['#F07E24'],/moskva/komnaty/komnata_189_m_v_3-k.15_et._2084781952,"{'151': 1.7, '21': 1.1, '2180': 2.4}",151,21,2180,1.7,1.1,2.4,ВДНХ,"Москва, улица Константинова, 24к1",4000000
2062275591,Собственник,20,3,1,4,Кирпичный,55.820329,37.587191,['#BED12C'],/moskva/komnaty/komnata_20_m_v_3-k_14_et._2062275591,"{'121': 0.5, '2154': 0.3, '2155': 1.2}",121,2154,2155,0.5,0.3,1.2,Фонвизинская,"Москва, улица Фонвизина, 12",4200000
2109901448,Посредник,20.9,3,4,5,Блочный,55.820632,37.588539,['#BED12C'],/moskva/komnaty/komnata_209_m_v_3-k._45_et._2109901448,,,,,,,,Фонвизинская,"Москва, улица Фонвизина, 14",4300000
2092234385,Посредник,12,2,1,12,Блочный,55.767519,37.735952,['#F4D7CF'],/moskva/komnaty/komnata_12_m_v_2-k._112_et._2092234385,,,,,,,,Соколиная гора,"Москва, 8-я улица Соколиной Горы, 8",1900000
2090348299,Собственник,15,1,5,5,Кирпичный,55.805821,37.536086,['#4FB04F'],/moskva/komnaty/komnata_15_m_v_1-k.55_et._2090348299,"{'110': 1.3, '2195': 2, '7': 0.6}",110,2195,7,1.3,2.0,0.6,Аэропорт,"Москва, улица Черняховского, 11к1",4500000
2088056179,Посредник,12.9,3,5,5,Блочный,55.690562,37.582996,['#F07E24'],/moskva/komnaty/komnata_129_m_v_3-k.55_et._2088056179,"{'2166': 1.8, '2167': 1.4, '3': 0.7}",2166,2167,3,1.8,1.4,0.7,Академическая,"Москва, улица Гримау, 5/1к2",3500000
1336091334,Собственник,20,3,1,9,Панельный,55.7667007180771,37.7371831247951,['#F4D7CF'],/moskva/komnaty/komnata_20_m_v_3-k.19_et._1336091334,"{'141': 1.3, '2181': 0.6, '2222': 1.9}",141,2181,2222,1.3,0.6,1.9,Соколиная гора,"Москва, 8-я улица Соколиной Горы, 8к1",1900000
2129607529,Посредник,15.8,3,5,5,Кирпичный,55.775145,37.734461,['#F4D7CF'],/moskva/komnaty/komnata_158_m_v_3-k.55_et._2129607529,"{'107': 1.3, '2176': 1.6, '2181': 0.9}",107,2176,2181,1.3,1.6,0.9,Соколиная гора,"Москва, 1-й Кирпичный переулок, 17",3500000
2068521295,Посредник,22,2,6,10,Кирпичный,55.697067,37.55381,['#E42313'],/moskva/komnaty/komnata_22_m_v_2-k._610_et._2068521295,,,,,,,,Университет,"Москва, Университетский проспект, 4",5000000
2031361122,Посредник,13.9,3,1,5,Кирпичный,55.767757,37.738213,['#F4D7CF'],/moskva/komnaty/komnata_139_m_v_3-k.15_et._2031361122,"{'141': 1.3, '2181': 0.5, '2222': 2}",141,2181,2222,1.3,0.5,2.0,Соколиная гора,"Москва, 8-я улица Соколиной Горы, 18к1",2700000
1785895480,Собственник,19.8,3,2,5,Кирпичный,55.762728,37.743867,"['#FFCD1C', '#F4D7CF']",/moskva/komnaty/komnata_198_m_v_3-k.25_et._1785895480,"{'141': 0.7, '2174': 1.9, '2181': 0.8}",141,2174,2181,0.7,1.9,0.8,Шоссе Энтузиастов,"Москва, улица Уткина, 41Б",560000
2109537975,Посредник,38.7,3,4,5,Кирпичный,55.689187,37.585251,['#F07E24'],/moskva/komnaty/komnata_387_m_v_3-k._45_et._2109537975,,,,,,,,Академическая,"Москва, улица Винокурова, 5/6к1",7850000
2086601838,Посредник,59.6,2,2,8,Кирпичный,55.822,37.656,['#F07E24'],/moskva/komnaty/komnata_596_m_v_2-k._28_et._2086601838,,,,,,,,ВДНХ,"Москва, улица Бориса Галушкина, 18",6500000
2078477251,Посредник,16,2,7,10,Кирпичный,55.802755,37.526007,['#4FB04F'],/moskva/komnaty/komnata_16_m_v_2-k.710_et._2078477251,"{'110': 0.7, '2183': 1.7, '7': 0.5}",110,2183,7,0.7,1.7,0.5,Аэропорт,"Москва, Ленинградский проспект, 66",2904000
2092623893,Посредник,18.5,3,8,8,Кирпичный,55.715601,37.516413,['#FFCD1C'],/moskva/komnaty/komnata_185_m_v_3-k._88_et._2092623893,,,,,,,,Ломоносовский проспект,"Москва, Мосфильмовская улица, 17/25",4000000
1898098867,Посредник,52,2,12,12,Блочный,55.720859,37.509864,['#FFCD1C'],/moskva/komnaty/komnata_52_m_v_2-k_1212_et._1898098867,"{'2185': 0.9, '2186': 1.6, '81': 1.8}",2185,2186,81,0.9,1.6,1.8,Минская,"Москва, улица Довженко, 12к1",6000000
2086595580,Посредник,90,3,1,5,Кирпичный,55.7459,37.4945,['#1EBCEF'],/moskva/komnaty/komnata_90_m_v_3-k._15_et._2086595580,,,,,,,,Багратионовская,"Москва, улица Барклая, 17",5750000
2007398929,Собственник,50,3,8,8,Кирпичный,55.713846,37.517006,['#FFCD1C'],/moskva/komnaty/komnata_50_m_v_3-k_88_et._2007398929,"{'2185': 1.7, '2186': 0.8, '2187': 2.2}",2185,2186,2187,1.7,0.8,2.2,Ломоносовский проспект,"Москва, Университетский проспект, 23к4",11700000
2083617608,Посредник,38,2,1,5,Кирпичный,55.719957,37.726807,['#F4D7CF'],/moskva/komnaty/komnata_38_m_v_2-k.15_et._2083617608,"{'119': 1.3, '2172': 0.8, '2173': 1.3}",119,2172,2173,1.3,0.8,1.3,Новохохловская,"Москва, 1-й Грайвороновский проезд, 6",8800000
1945453401,Собственник,20,3,2,5,Кирпичный,55.762756,37.743843,"['#FFCD1C', '#F4D7CF']",/moskva/komnaty/komnata_20_m_v_3-k.25_et._1945453401,"{'141': 0.7, '2174': 1.9, '2181': 0.8}",141,2174,2181,0.7,1.9,0.8,Шоссе Энтузиастов,"Москва, улица Уткина, 41Б",4500000
2078682678,Собственник,20,3,4,5,Блочный,55.688827,37.56317,['#F07E24'],/moskva/komnaty/komnata_20_m_v_3-k.45_et._2078682678,"{'129': 1.8, '3': 0.7, '98': 1.2}",129,3,98,1.8,0.7,1.2,Академическая,"Москва, улица Ивана Бабушкина, 2к2",4750000
